"","AID","Species","Image","TL","TL.05.00..Width","TL.10.00..Width","TL.15.00..Width","TL.20.00..Width","TL.25.00..Width","TL.30.00..Width","TL.35.00..Width","TL.40.00..Width","TL.45.00..Width","TL.50.00..Width","TL.55.00..Width","TL.60.00..Width","TL.65.00..Width","TL.70.00..Width","TL.75.00..Width","TL.80.00..Width","TL.85.00..Width","TL.90.00..Width","TL.95.00..Width","Reproductive_Class","HTRange","SHrange","SW","BaroAlt","Launch_Ht","LaserAlt","Altitude","Focal_Length","Iw","Sw","alt_diff","perDif","date_source"
"259","MN180609_L_F4-06","Humpback","180609_L_F4_DSC00633.JPG",13.9587721190218,0.955511186750235,1.23593294832229,1.50596871839356,1.94218034718927,2.24337409054255,2.64842774605624,2.96000748091032,3.24042924207559,3.3235171716412,3.17811329510478,3.02232342788113,2.74190166630907,2.28491805532536,1.79677647065284,1.2463189394163,0.830879292808605,0.384281672959573,0.581615504925345,1.91102237350047,"adult","25%-85%","50%-60%","60%",52.7,2.1,51.93,51.93,50,6000,23.5,2.87,5.526670518,"new"
"260","MN180609_L_F4-06","Humpback","180609_L_F4_DSC00641.JPG",14.0083500773636,1.36508283835144,1.65760058921458,1.97178632192174,2.1559641652621,2.52431985151849,2.87100755677952,3.00101544614632,3.05518539969555,3.16352530764266,3.16352530764266,2.96851347359246,2.66516173159514,2.26430407278488,1.79844246929123,1.33258086579757,0.8233832990402,0.444193622073967,0.715043391517418,2.74099966741272,"adult","25%-85%","50%-60%","60%",55.75,2.1,54.17,54.17,50,6000,23.5,3.68,6.793428097,"new"
"261","MN180609_L_F4-07","Humpback","180609_L_F4_DSC00694.JPG",14.1377919670099,1.35098685047095,1.84571442922274,1.94085434838546,2.09307821859864,2.41655394345376,2.81614160304284,2.94933748957253,3.10156136053098,3.12058934421447,3.08253337684749,2.68294571651315,2.41655394345376,2.07405023491515,1.69349055900956,1.25584693130824,0.742091368425795,0.532783546565931,0.57083951415649,2.39752595977027,"adult","25%-85%","50%-60%","60%",99.9,2.1,95.14,95.14,50,6000,23.5,6.86,7.21042674,"new"
"262","MN180609_L_F4-07","Humpback","180609_L_F4_DSC00708.JPG",13.4624305400787,1.10900105617847,1.72667253037348,1.93724235145917,1.92320436349675,2.54087583769176,2.65317974194091,2.87778755098901,2.94797749135091,3.07431938356246,2.8637495630266,2.73740767026522,2.44260992140504,1.99339430330883,1.62840661408675,1.2914949007895,0.856317271205532,0.519405557963267,0.575557510307767,1.83897643517244,"adult","25%-85%","50%-60%","60%",74.75,2.1,70.19,70.19,50,6000,23.5,6.66,9.48853113,"new"
"263","MN180609_L_F4-07","Humpback","180609_L_F4_DSC00731.JPG",13.9843680986318,1.15732701514602,1.6931265590552,2.02532227629568,2.1003342123926,2.68971371077664,2.88260154663431,2.95761348273123,3.07548938249198,3.05405740086992,3.06477339168095,2.71114569281841,2.43252992963308,1.97174232182082,1.6931265590552,1.253770932865,0.83584728871657,0.42863963537917,0.45007161700123,1.81100245881595,"adult","25%-85%","50%-60%","60%",56.15,2.1,53.58,53.58,50,6000,23.5,4.67,8.715938783,"new"
"264","MN180611_L_F2-01","Humpback","180611_L_F2_DSC00704.JPG",12.7010931883229,1.07416308583922,1.55812667407635,1.81781445278086,1.93585435248621,2.32538602077414,2.41981794072334,2.51424986021023,2.62048576957518,2.63228975991557,2.59687778981904,2.49064188045409,2.18373814131265,1.90044238238968,1.59353864371056,1.26302692527531,0.84988727676892,0.554787527967877,0.365923688578019,1.84142243299933,"adult","25%-85%","50%-60%","60%",61.25,2.1,59.02,59.02,50,6000,23.5,4.33,7.336496103,"new"
"265","MN180611_L_F2-01","Humpback","180611_L_F2_DSC00727.JPG",13.5286784873802,1.19406898379924,1.73570852271793,1.99421830297417,2.14193817726856,2.4496879153015,2.68357771618725,2.78205763222279,2.89284753818465,2.90515752762882,2.84360757992581,2.75743765333444,2.53585784189287,2.12962818734224,1.71108854382958,1.30485888927896,0.91093922465465,0.603189486621708,0.332369717114148,2.11731819789807,"adult","25%-85%","50%-60%","60%",59.45,2.1,NA,61.55,50,6000,23.5,NA,NA,"new"
"266","MN180611_L_F2-01","Humpback","180611_L_F2_DSC00728.JPG",13.6148484130073,1.20637897324342,1.7726384915326,1.99421830297417,2.16655815615691,2.4989278730782,2.64664774737258,2.7081976950756,2.88053754825833,2.86822755881416,2.79436762166697,2.69588770563142,2.43737792585732,2.10500820845389,1.63722860668239,1.18175899435507,0.812459308619108,0.492399581141992,0.467779601867928,2.54816783133704,"adult","25%-85%","50%-60%","60%",59.45,2.1,NA,61.55,50,6000,23.5,NA,NA,"new"
"267","MN180611_L_F2-02","Humpback","180611_L_F2_DSC00685.JPG",11.9240698536666,1.14783102315411,1.64931059619032,1.86104641593612,1.97248632124927,2.20651012231958,2.4293899325094,2.58540579959863,2.91972551510159,2.84171758155698,2.84171758155698,2.77485363845639,2.62998176181118,2.35138199896479,1.71617453929091,1.32613487156785,0.891519241195754,0.657495440561913,0.412327649091227,1.86104641593612,"adult","25%-85%","50%-60%","60%",58.85,2.1,55.72,55.72,50,6000,23.5,5.23,9.386216798,"new"
"268","MN180611_L_F2-02","Humpback","180611_L_F2_DSC00709.JPG",12.648641236183,1.12798504019798,1.62227061932612,1.93912034961284,1.95179433874489,2.20527412337138,2.43340592923739,2.72490768076362,2.86432156220891,2.91501751923349,2.92769150836553,2.85164757307686,2.59816778894677,2.1545781663468,1.72366253287888,1.24205094288278,0.785787331150773,0.583003504045256,0.519633557888633,2.34468800432027,"adult","25%-85%","50%-60%","60%",64.9,2.1,63.37,63.37,50,6000,23.5,3.63,5.728262585,"new"
"269","MN180611_L_F2-02","Humpback","180611_L_F2_DSC00746.JPG",14.2288178894612,1.30439888999183,1.93485835320406,2.19573813120242,2.19573813120242,2.50009787234243,2.65227774269957,2.9457674931606,3.16316730801733,3.20664727073322,3.22838725251692,3.14142732623363,2.85880756687732,2.42400793716387,1.92398836252508,1.30439888999183,0.880469250531617,0.478279592855092,0.467409602176117,2.50009787234243,"adult","25%-85%","50%-60%","60%",52.25,2.1,NA,54.35,50,6000,23.5,NA,NA,"new"
"270","MN190303_A_F1-01","Humpback","190303_A_F1_DSC07542.JPG",11.7363842982796,1.00421914530289,1.46192447004916,1.66686715279134,1.75567564860169,2.03576398172726,2.32951516027979,2.56178353414345,2.7257376795345,2.77355763826129,2.7872204847585,2.7052434111265,2.52762642030849,2.28169520101788,1.85131556739309,1.48241873845716,1.12035333223472,0.737793657871843,0.403053942770879,1.02471341371089,"adult","25%-85%","50%-60%","60%",24.08,1.807,23.91,23.91,35,6000,23.5,1.977,8.268506901,"new"
"271","MN190303_A_F1-01","Humpback","190303_A_F1_DSC07490.JPG",12.6316538201933,1.05635738658848,1.54734039734665,1.8002710393495,1.87466240442164,2.14247131938064,2.48467159970316,2.72272396845848,2.90126324509782,2.93845892777957,2.96821547310915,2.92358065365795,2.73760224141464,2.469793326747,2.01600599867059,1.59941435298456,1.2423357997059,0.788548471629482,0.416591645394658,1.13818788843007,"adult","25%-85%","50%-60%","60%",24.23,1.807,NA,26.037,35,6000,23.5,NA,NA,"new"
"272","MN190303_A_F1-01","Humpback","190303_A_F1_DSC07500.JPG",12.5545744575225,1.06831766227105,1.56195409929456,1.77561763180648,1.86403012799841,2.12189990831773,2.46818218511754,2.71131654950107,2.88814154188492,2.94708320735953,2.95445091446172,2.87340612594912,2.68921342559737,2.40187281311788,1.97454574809404,1.55458639132666,1.17883328236667,0.751506217631397,0.442062480959645,1.17883328236667,"adult","25%-85%","50%-60%","60%",23.98,1.807,NA,25.787,35,6000,23.5,NA,NA,"new"
"273","MN190303_A_F1-02","Humpback","190303_A_F1_DSC07501.JPG",11.4487273998973,1.09622763838961,1.52101584824546,1.74026137613806,1.8224784490307,2.26782092697553,2.36374084552917,2.50076930026079,2.65835202334973,2.67205486874239,2.6377977549924,2.53502641401078,2.38429511361816,2.08283251310127,1.7128556850844,1.28121605253222,0.93864491556901,0.609776623998457,0.363125405320543,1.4456501983175,"adult","25%-85%","50%-60%","60%",24.01,1.807,23.98,23.98,35,6000,23.5,1.837,7.660550459,"new"
"274","MN190303_A_F1-02","Humpback","190303_A_F1_DSC07506.JPG",11.5499187403631,1.0600705263444,1.53814154795464,1.77371277615179,1.8637841280297,2.29335519095732,2.37649797734792,2.51506928817982,2.67442629520232,2.69521199193565,2.67442629520232,2.5843549433244,2.41114080505589,2.13399818393482,1.73214138295649,1.32335601649083,0.969999174466488,0.602785201196131,0.367213973270357,1.43421306510208,"adult","25%-85%","50%-60%","60%",24.15,1.807,24.25,24.25,35,6000,23.5,1.707,7.039175258,"new"
"275","MN190303_A_F1-02","Humpback","190303_A_F1_DSC07515.JPG",11.8324070714284,1.0688219476043,1.54157011660279,1.78136991258438,1.84303271711968,2.28837519533286,2.34318657717184,2.52132356834977,2.62409490959974,2.6515006006534,2.58983779584975,2.48706645486813,2.28152377263653,1.9937640175123,1.53471869390646,1.15789044319326,0.842724997015367,0.493302437355829,0.404233941766862,1.7128556850844,"adult","25%-85%","50%-60%","60%",24.01,1.807,23.98,23.98,35,6000,23.5,1.837,7.660550459,"new"
"276","MN190303_A_F3-03","Humpback","190303_A_F3_DSC07597.JPG",8.99313520235089,0.816963590543036,1.0979990656325,1.32021316207795,1.39210595808464,1.67314143317411,1.71889139419946,1.84306985991286,1.85614127753152,1.87574840357554,1.88881982093821,1.8169270251875,1.62739147214875,1.3855702494033,1.0261062696258,0.797356464243036,0.575142367541607,0.3790711060775,0.313714018752143,1.64046288951143,"adult","25%-85%","50%-60%","60%",22.2,1.807,22.875,22.875,35,6000,23.5,1.132,4.94863388,"new"
"277","MN190303_A_F3-03","Humpback","190303_A_F3_DSC07598.JPG",8.97352807605089,0.797356464243036,1.10453477431384,1.30714174471527,1.3659631231033,1.71889139419946,1.73849852049946,1.80385560756884,1.83653415123152,1.86267698621286,1.92803407328223,1.7973198988875,1.61432005478607,1.37903454072196,1.04571339566982,0.823499299224375,0.614356619885625,0.3594639797775,0.339856853733482,1.62085576346741,"adult","25%-85%","50%-60%","60%",22.2,1.807,22.875,22.875,35,6000,23.5,1.132,4.94863388,"new"
"278","MN190303_A_F3-03","Humpback","190303_A_F3_DSC07599.JPG",8.9669923681375,0.790820755561696,1.1306776090392,1.32021316207795,1.39864166676598,1.69928426815545,1.75810564654348,1.8169270251875,1.8169270251875,1.86267698621286,1.90842694723821,1.79078419020616,1.62085576346741,1.41171308412866,1.11107048299518,0.830035007905714,0.627428037504286,0.398678232121518,0.346392562414821,1.7973198988875,"adult","25%-85%","50%-60%","60%",22.2,1.807,22.875,22.875,35,6000,23.5,1.132,4.94863388,"new"
"279","MN190303_A_F4-09-MOM1","Humpback","190303_A_F4_DSC07738.JPG",11.4905616509869,0.973627742725928,1.37711311377102,1.61394148349329,1.70165569467967,2.02619827558831,2.19285527656759,2.23671238216079,2.2893409088039,2.34196943544702,2.41214080419,2.38582654104021,2.26302664531057,2.05251253873809,1.71042711572959,1.34202742922776,0.982399163775857,0.666628003917143,0.429799634194881,1.19291327034833,"adult","25%-85%","50%-60%","60%",31.69,1.807,30.7,30.7,35,6000,23.5,2.797,9.110749186,"new"
"280","MN190303_A_F5-12-MOM2","Humpback","190303_A_F5_DSC07991.JPG",12.2163838895331,1.00928485546431,1.47759302816447,1.68752427798467,1.87323269143311,2.18812956647966,2.33346658534269,2.46265504694079,2.52724927758171,2.50302644120996,2.42228365267161,2.34154086444951,2.17198100858224,1.9055298069117,1.59063293186516,1.21921610528451,0.896244951447386,0.613645191879429,0.452159615118986,0.621719470986257,"adult","25%-85%","50%-60%","60%",29.27,1.807,28.26,28.26,35,6000,23.5,2.817,9.968152866,"new"
"281","MN190303_A_F5-12-MOM2","Humpback","190303_A_F5_DSC07994.JPG",12.9832832361391,1.04315625494987,1.53263726693382,1.75731707584214,1.83755986480532,2.38321082893777,2.39123510777123,2.47950217556787,2.52764784888292,2.47147789673441,2.43938078108628,2.26284664549301,2.08631251021402,1.83755986480532,1.45239447828492,1.09130192826492,0.730209378559193,0.537626685298998,0.409238223020773,1.6690500080455,"adult","25%-85%","50%-60%","60%",29.4,1.807,28.085,28.085,35,6000,23.5,NA,11.11625423,"new"
"282","MN190303_A_F5-12-MOM2","Humpback","190303_A_F5_DSC08061.JPG",12.8436276393173,1.07980765234292,1.52846012774429,1.7185671087759,1.88586125222667,2.3725351235961,2.38774368228116,2.47899503320016,2.52462070865966,2.47899503320016,2.40295224066838,2.22044953883039,1.94669548607339,1.70335855038868,1.3459574259063,0.996160580915363,0.707197969473314,0.486673871667265,0.600738060167095,2.17482386337089,"adult","25%-85%","50%-60%","60%",29.22,1.807,26.615,26.615,35,6000,23.5,NA,16.57711817,"new"
"283","MN190305_A_F1-02","Humpback","190305_A_F1_DSC08092.JPG",11.3806274565513,1.04922339290356,1.53937154702934,1.73083566976284,1.76146992950819,1.96059261710304,2.28991090824066,2.41244794692208,2.43542364150612,2.41244794692208,2.320545167986,2.27459377851796,2.06015396090046,1.76912849436953,1.46278589781595,1.11815047695564,0.8654178350314,0.520782413871125,0.382928245467007,1.78444562409222,"adult","25%-85%","50%-60%","60%",27.21,1.807,26.805,26.805,35,6000,23.5,2.212,8.252191755,"new"
"284","MN190305_A_F1-02","Humpback","190305_A_F1_DSC08175.JPG",11.4598845333165,1.00737914269816,1.29520175481287,1.4618358988249,1.54515297083091,2.06777824022833,1.98446116822232,1.96173833056431,2.00718400617698,1.96931260978365,1.90114409621631,1.70421283532694,1.56030152926958,1.24218179998086,1.06039909753017,0.893764953518145,0.605942341403431,0.295396891452714,0.295396891452714,1.80267846577162,"adult","25%-85%","50%-60%","60%",27.85,1.807,26.51,26.51,35,6000,23.5,NA,11.87099208,"new"
"285","MN190305_A_F1-02","Humpback","190305_A_F1_DSC08211.JPG",12.245415291266,1.05991624074989,1.56356438353844,1.78156134093514,1.86424984204711,2.27017521090131,2.36038084842447,2.39796653048044,2.45810362235882,2.41300080359724,2.38293225765805,2.13486675461658,1.98452402521504,1.68383856700079,1.33805028973055,1.0223305583995,0.811850737708414,0.53371668872775,0.330754004153436,1.27791319814659,"adult","25%-85%","50%-60%","60%",27.92,1.807,26.31,26.31,35,6000,23.5,NA,12.98745724,"new"
"286","MN190306_A_F3-02","Humpback","190306_A_F3_DSC09238.JPG",12.373640899053,1.12969046712018,1.59745292626745,1.74748994150476,1.82692130230942,2.13582103950171,2.35646370882601,2.444720776694,2.57710637815031,2.62123491208431,2.51532643078099,2.37411512226134,2.14464674621937,1.79161847509309,1.38563596366081,1.05908481303319,0.706056541906902,0.432459631930941,0.450111045366269,2.444720776694,"adult","25%-85%","50%-60%","60%",28.32,1.807,30.89,30.89,35,6000,23.5,-0.763000000000002,2.470055034,"new"
"287","MN190306_A_F3-02","Humpback","190306_A_F3_DSC09239.JPG",12.1696296423532,1.10874905654245,1.56998866380842,1.75625850547153,1.81834845257676,2.23523809752544,2.35941799208332,2.48359788629378,2.47472789389981,2.54568783339902,2.49246787868776,2.4037679544006,2.23523809752544,1.89817838446994,1.41919879206862,1.08213907901312,0.718469388428283,0.478979592401325,0.461239607613375,2.35941799208332,"adult","25%-85%","50%-60%","60%",27.99,1.807,31.045,31.045,35,6000,23.5,-1.248,4.01997101,"new"
"288","MN190306_A_F3-02","Humpback","190306_A_F3_DSC09247.JPG",12.221441027708,1.11905047623223,1.54199868774331,1.7094156880756,1.78871847756137,2.22928953144883,2.28215805788771,2.48482074228251,2.52006642669014,2.54650068973703,2.47600932126689,2.35264942635786,2.18523242602557,1.823964161969,1.36577026605029,0.978067738946829,0.625610896251,0.378891106087829,0.502251000996857,2.43195221584363,"adult","25%-85%","50%-60%","60%",27.89,1.807,30.84,30.84,35,6000,23.5,-1.143,3.706225681,"new"
"289","MN190310_A_F1-01","Humpback","190310_A_F1_DSC00433.JPG",9.20633216572043,0.827742152756679,1.15883901385935,1.34278171435187,1.43475306477824,1.7566527905501,1.77504706085151,1.84862414097647,1.84862414097647,1.87621554624847,1.83942700600588,1.7566527905501,1.53592154981499,1.31519030944009,1.0116848532492,0.836939287727271,0.561025236808378,0.413871076198229,0.404673941227636,1.61869576527076,"adult","25%-85%","50%-60%","60%",32.81,1.807,32.19,32.19,35,6000,23.5,2.427,7.539608574,"new"
"290","MN190310_A_F1-01","Humpback","190310_A_F1_DSC00436.JPG",9.23392357099243,0.89212209791105,1.24161322895491,1.32438744441069,1.42555592944743,1.7566527905501,1.79344133079269,1.83022987103529,1.84862414097647,1.88541268121906,1.82103273606469,1.71066711569714,1.49913300993261,1.18643041877113,0.947304908094829,0.754165072271493,0.524236696565786,0.321899726060034,0.404673941227636,1.71066711569714,"adult","25%-85%","50%-60%","60%",32.81,1.807,32.19,32.19,35,6000,23.5,2.427,7.539608574,"new"
"291","MN190310_A_F1-01","Humpback","190310_A_F1_DSC00453.JPG",9.43626054178636,0.873727827969864,1.21402182404313,1.37037311926365,1.43475306477824,1.74745565557951,1.83942700600588,1.82103273606469,1.87621554624847,1.91300408613084,1.86701841091766,1.76584992588091,1.5451186851458,1.26000749925631,1.02088198821979,0.763362207602307,0.524236696565786,0.321899726060034,0.496645291654007,1.97738403128521,"adult","25%-85%","50%-60%","60%",32.79,1.807,32.19,32.19,35,6000,23.5,2.407,7.477477477,"new"
"292","MN190311_A_F1-01","Humpback","190311_A_F1_DSC00745.JPG",9.40296914049512,0.9684706043142,1.25901178581536,1.35585884597091,1.5583572451363,1.79607275730496,1.98096259979629,2.06020110362262,2.03378826912879,2.07780966029667,2.07780966029667,1.89291981746051,1.68161714013052,1.47911874130997,1.11814333414709,0.871623543813813,0.607495197151319,0.343366850626759,0.493039580321711,1.8312898699634,"adult","25%-85%","50%-60%","60%",31.55,1.807,30.815,30.815,35,6000,23.5,2.542,8.249229271,"new"
"293","MN190311_A_F1-01","Humpback","190311_A_F1_DSC00751.JPG",9.98650007324533,0.917582076247181,1.26501606613008,1.38973596022944,1.56790723706562,1.81734702491542,1.80843846077703,2.09351250413363,2.11132963171257,2.02224399312002,1.96879261003427,1.86188984386278,1.5768158008551,1.44318734331519,1.10466191687284,0.801770746286214,0.516696703278533,0.374159681600233,0.436519628475452,1.71044425874392,"adult","25%-85%","50%-60%","60%",31.85,1.807,31.18,31.18,35,6000,23.5,2.477,7.944194997,"new"
"294","MN190311_A_F2-05-MOM2","Humpback","190311_A_F2_DSC01238.JPG",12.6530892309438,1.07509908522773,1.5051387190597,1.76977849407435,1.88555839544082,2.3817579731884,2.34867800090668,2.51407786037182,2.58023780428743,2.4479179164562,2.33213801508973,2.16673815627242,1.90209838125777,1.62091862042617,1.24049894404505,0.9096992257626,0.628519465060563,0.396959662133285,0.380419676251553,1.86901840962387,"adult","25%-85%","50%-60%","60%",59.75,1.807,57.89,57.89,35,6000,23.5,3.667,6.334427362,"new"
"295","MN190311_A_F2-05-MOM2","Humpback","190311_A_F2_DSC01264.JPG",14.8487102183654,1.26596463698406,1.74070137585308,2.08356679819743,2.24181237782044,2.8616075647633,2.83523330114846,3.04622740748464,3.09897593419781,2.9802917492223,2.8616075647633,2.70336198514029,2.47918074725495,2.01763113993509,1.5297072695169,1.09453192581188,0.791227898115036,0.487923870469839,0.527485265582189,2.58467780016479,"adult","25%-85%","50%-60%","60%",45.69,1.807,46.155,46.155,35,6000,23.5,1.342,2.907593977,"new"
"296","MN190311_A_F2-05-MOM2","Humpback","190311_A_F2_DSC01267.JPG",14.1302636897447,1.22413038673181,1.72011425044614,1.99448830253775,2.08946393620843,2.51157786243964,2.71208197746146,2.85982185201437,2.91258609248328,2.78595191453126,2.73318767406235,2.50102501434586,2.31107374741782,2.07891108770133,1.64624431337634,1.1608132977558,0.728146523017491,0.506536711808105,0.401008230126307,1.96282975825641,"adult","25%-85%","50%-60%","60%",37.5,1.807,36.935,36.935,35,6000,23.5,2.372,6.422092866,"new"
"297","MN190311_A_F2-07","Humpback","190311_A_F2_DSC01448.JPG",12.1562425122883,1.0158419926888,1.5576243887895,1.69306998781467,1.80594132004093,2.2574266502722,2.43802078201105,2.53960498150097,2.61861491419197,2.69762484688298,2.61861491419197,2.4041593824758,2.1784167175812,1.81722845321935,1.39960452296541,1.08356479220139,0.699802261482705,0.496633862944944,0.451485330231273,1.70435712099309,"adult","25%-85%","50%-60%","60%",41.56,1.807,39.505,39.505,35,6000,23.5,3.86199999999999,9.775977724,"new"
"298","MN190311_A_F2-07","Humpback","190311_A_F2_DSC01474.JPG",12.2962523931411,1.18738184656397,1.54131297387506,1.75823850348849,1.83815843540426,2.31767802734606,2.5117692908256,2.59168922274137,2.78578048622091,2.8086147523548,2.68302628817126,2.46610075811066,2.14642103044757,1.76965563655543,1.39289024311046,0.970456316950543,0.605108056572514,0.536605257723686,0.433851059316291,2.0322496988838,"adult","25%-85%","50%-60%","60%",42.12,1.807,39.96,39.96,35,6000,23.5,3.967,9.927427427,"new"
"299","MN190311_A_F2-07","Humpback","190311_A_F2_DSC01450.JPG",12.3067552385173,1.11775904866838,1.50555300452941,1.74507280048118,1.79069561894916,2.33816943877804,2.49784930274589,2.5662835302245,2.66893487121905,2.73736909869766,2.65752916671373,2.5092550072512,2.24692380184208,1.89334695994371,1.47133589056674,1.08354193515244,0.718559388302038,0.490445296855581,0.456228183339638,1.92756407390638,"adult","25%-85%","50%-60%","60%",42.03,1.807,39.92,39.92,35,6000,23.5,3.917,9.812124248,"new"
"300","MN190311_A_F3-08","Humpback","190311_A_F3_DSC01121.JPG",13.5595084614637,1.23351323584896,1.80915274617424,2.0101697177328,2.13808960875714,2.40306652618574,2.53098641756796,2.6314949031683,2.7776890645946,2.90560895561894,2.85992328015086,2.80510046966073,2.64063203819034,2.32996944565153,1.8913869617305,1.41625593736343,1.01422199388844,0.511679564455243,0.456856753965114,2.69545484868047,"adult","25%-85%","50%-60%","60%",32.91,1.807,31.98,31.98,35,6000,23.5,2.737,8.558474046,"new"
"301","MN190311_A_F3-08","Humpback","190311_A_F3_DSC01132.JPG",13.8318825153367,1.26079035573302,1.89578695804501,2.0982496426573,2.13506104002338,2.51237786185419,2.71484054646648,2.80686903970144,2.90810038218781,2.9633174780567,2.95411462880529,2.80686903970144,2.52158071110559,2.08904679340589,1.66571572531805,1.31600745160191,0.745430794049767,0.414128218836438,1.63810717720338,3.91121095527698,"adult","25%-85%","50%-60%","60%",33.38,1.807,32.21,32.21,35,6000,23.5,2.977,9.242471282,"new"
"302","MN190311_A_F3-09","Humpback","190311_A_F3_DSC01133.JPG",13.2689029937243,1.16789900621361,1.58991293274139,1.78619847986529,1.84508414404089,2.38486939891989,2.64985488751793,2.73818338397354,2.89521182151889,2.9835403179745,3.02279742755304,2.91484037650036,2.75781193857061,2.39468367621843,1.80582703446236,1.26604177958336,0.736070802002893,0.422013926527786,0.480899590703393,2.40449795351696,"adult","25%-85%","50%-60%","60%",34.1,1.807,34.35,34.35,35,6000,23.5,1.557,4.532751092,"new"
"303","MN190311_A_F3-09","Humpback","190311_A_F3_DSC01144.JPG",13.2100173296846,1.0960276387387,1.5478986824663,1.77864134325339,1.8555555637668,2.41318366041791,2.58624065600823,2.83621187173539,2.90351181477876,2.93235464718887,2.93235464718887,2.98042603491561,2.63431204373496,2.19205527710085,1.70172712311655,1.16332758140551,0.759527925028095,0.394185378907381,0.471099599044226,2.22089810988751,"adult","25%-85%","50%-60%","60%",33.67,1.807,33.65,33.65,35,6000,23.5,1.827,5.429420505,"new"
"304","MN190311_A_F3-09","Humpback","190311_A_F3_DSC01148.JPG",13.2364544508635,1.04574768152559,1.57830437112819,1.85910698937882,1.93656978047652,2.47880931891893,2.63373490149358,2.81770903058765,2.99200031084191,3.1178773465179,3.05009740426,3.02104885736134,2.75961193716956,2.35293228324295,1.69449855796436,1.22003896177985,0.793993609794374,0.426045351606231,0.484142445024319,2.45944362123931,"adult","25%-85%","50%-60%","60%",33.88,1.807,33.89,33.89,35,6000,23.5,1.797,5.3024491,"new"
"305","MN190311_A_F3-10","Humpback","190311_A_F3_DSC01218.JPG",14.7942731247595,1.26244463985071,1.82462701839843,1.99229544721009,2.12051248089362,2.40653509470335,2.79118619614025,2.84050043956753,2.98844317100828,3.10679735600635,3.23501438968989,3.07720880956369,2.76159764969758,2.3966722460179,1.95284405246826,1.48929016116141,0.966559177355524,0.660810866174876,0.493142437363219,1.66682143865852,"adult","25%-85%","50%-60%","60%",33.83,1.807,34.52,34.52,35,6000,23.5,1.117,3.23580533,"new"
"306","MN190311_A_F3-10","Humpback","190311_A_F3_DSC01223.JPG",15.0200957874173,1.31080888447277,1.78388276761397,2.06969823874279,2.1682552974732,2.54277212149799,2.84829900429568,2.99613459297032,3.18339300498271,3.16368159331383,3.17353729914827,3.04541312252853,2.66104059228329,2.18796670914208,1.81344988511729,1.26153035491455,0.837735001331556,0.61105376559539,0.512496706864982,2.45407076860202,"adult","25%-85%","50%-60%","60%",34.15,1.807,34.495,34.495,35,6000,23.5,1.462,4.238295405,"new"
"307","MN190311_A_F3-11","Humpback","190311_A_F3_DSC01203.JPG",10.9096764293951,0.996363437638863,1.38887024668042,1.54989868081536,1.59015578954619,1.95246976694108,2.06317681565522,2.23426952687432,2.27452663560515,2.15375530980685,2.06317681565522,1.9725983211094,1.68073428369782,1.35867741503376,1.04668482345385,0.855463557672244,0.603856628991488,0.372378254518472,0.583728074823167,2.47581217847092,"adult","25%-85%","50%-60%","60%",33.96,1.807,35.225,35.225,35,6000,23.5,0.542000000000002,1.538679915,"new"
"308","MN190311_A_F3-11","Humpback","190311_A_F3_DSC01205.JPG",10.8694193218468,0.925913497655554,1.29829175213461,1.57002723537787,1.60022006663035,2.02291970692439,2.07324109273938,2.214140972706,2.26446235852099,2.11349820147021,2.13362675563853,2.03298398400855,1.84176271822695,1.46938446374789,1.14732759508383,0.754820786042268,0.48308530319319,0.322056868782321,0.523342411924018,2.27452663560515,"adult","25%-85%","50%-60%","60%",33.96,1.807,35.225,35.225,35,6000,23.5,0.542000000000002,1.538679915,"new"
"309","MN190311_A_F3-11","Humpback","190311_A_F3_DSC01271.JPG",10.196485608387,0.864790692526662,1.27707462746411,1.55863438760181,1.60891291631036,2.06141967429341,2.06141967429341,2.19214384869932,2.18208814303638,2.19214384869932,2.19214384869932,2.07147537995635,1.91058408816778,1.72958138505332,1.40779880187002,1.0156262786523,0.713955106794875,0.462562463645998,0.271504054632295,1.70946997372745,"adult","25%-85%","50%-60%","60%",33.36,1.807,35.195,35.195,35,6000,23.5,-0.0279999999999987,0.079556755,"new"
"310","MN190311_A_F3-12","Humpback","190311_A_F3_DSC01282.JPG",10.7259765874242,0.892160669432272,1.31318031115595,1.50364157758455,1.64398145802824,1.98480688241161,2.04495254551499,2.17526814884022,2.19531670307714,2.14519531709222,2.04495254551499,1.93468549642669,1.764272784235,1.33322886539287,0.982379163891036,0.791917897462429,0.541310967930439,0.380922532935738,0.5814080767969,2.57623923593435,"adult","25%-85%","50%-60%","60%",33.67,1.807,35.085,35.085,35,6000,23.5,0.391999999999996,1.11728659,"new"
"311","MN190317_L_F1-01","Humpback","190317_L_F1_DSC03289.JPG",9.32466634822171,0.836673573490248,1.17619328472647,1.23682180464096,1.44295877216028,1.6612214435675,1.64909573920467,1.81885559506024,1.8673584106119,1.87948411449981,1.8067298906974,1.70972425911916,1.50358729159985,1.15194187695064,0.909427797292657,0.703290830248267,0.485028158841038,0.32739400706335,0.40014823086576,1.40658166002161,"adult","25%-85%","50%-60%","60%",39.4,1.975,42.44,42.44,35,6000,23.5,-1.065,2.509425071,"new"
